,Unnamed: 0,jogador_id,partida_id,tipo
254,6708,8476462,2015020459,ASSISTENCIA
255,458,8470775,2014030325,ASSISTENCIA
256,7701,8474578,2017020781,GOL
257,1544,8468208,2013020147,GOL
258,9148,8477937,2018020003,GOL
259,394,8475907,2014030181,ASSISTENCIA
260,3487,8477956,2014021142,ASSISTENCIA
261,2531,8468208,2012020420,ASSISTENCIA
262,1407,8460542,2013020352,GOL
263,8536,8473573,2016020814,ASSISTENCIA
264,4038,8469469,2014020599,GOL
265,7306,8471669,2016020490,ASSISTENCIA
266,7267,8473465,2017020369,GOL
267,230,8471675,2015030143,GOL
268,1829,8470180,2012020424,GOL
269,5898,8475753,2017020667,ASSISTENCIA
270,2260,8466251,2013020266,ASSISTENCIA
271,12251,8473482,2010020205,ASSISTENCIA
272,9138,8471707,2018020003,ASSISTENCIA
273,2449,8466378,2012020007,GOL
274,3624,8462038,2014021027,GOL
275,10754,8471390,2010020935,ASSISTENCIA
276,1637,8471742,2013020119,ASSISTENCIA
277,5352,8470324,2015020335,GOL
278,10302,8478873,2018021031,ASSISTENCIA
279,1196,8475176,2013020893,ASSISTENCIA
280,8350,8470834,2015020426,ASSISTENCIA
281,2719,8474056,2013020046,ASSISTENCIA
282,8984,8474034,2016021044,GOL
283,6418,8475799,2015020746,GOL
284,2301,8470041,2013020948,GOL
285,9468,8478550,2018020297,ASSISTENCIA
286,10407,8471214,2010020943,ASSISTENCIA
287,6208,8467400,2015020691,GOL
288,335,8471675,2016030227,ASSISTENCIA
289,8448,8473584,2017020859,GOL
290,10508,8469455,2010021036,ASSISTENCIA
291,6950,8470610,2016021059,ASSISTENCIA
292,5887,8473563,2017020667,ASSISTENCIA
293,5032,8478042,2016020959,GOL
294,7036,8470619,2017020235,GOL
295,1184,8471482,2012020661,ASSISTENCIA
296,6820,8470604,2015021160,GOL
297,1075,8471217,2013021163,ASSISTENCIA
298,106,8465185,2010030164,ASSISTENCIA
299,6285,8476392,2017020272,GOL
300,5231,8474564,2015020640,GOL
301,5293,8476881,2017020315,ASSISTENCIA
302,5966,8479314,2017020386,ASSISTENCIA
303,2038,8470794,2013020121,GOL
304,3092,8467452,2014020406,ASSISTENCIA
305,1683,8466378,2012020068,ASSISTENCIA
306,11357,8470607,2011021043,GOL
307,6245,8474668,2015020053,GOL
308,10387,8477989,2018021058,GOL
309,11388,8469639,2010020327,ASSISTENCIA
310,6153,8476457,2016020631,ASSISTENCIA
311,8814,8473563,2017021154,ASSISTENCIA
312,4465,8475848,2014020053,GOL
313,10088,8479465,2018020883,GOL
314,2126,8470606,2013020667,GOL
315,2243,8471707,2013020638,GOL
316,7428,8467876,2017020044,ASSISTENCIA
317,10919,8470871,2010021064,ASSISTENCIA
318,3233,8474849,2014020553,ASSISTENCIA
319,9789,8477963,2018020606,GOL
