,Unnamed: 0,player_id,nationality,team_id,primaryPosition
906,139516,8471229,FIN,8.0,C
908,139572,8471663,CAN,8.0,RW
912,139657,8471862,CAN,9.0,C
914,139960,8458951,RUS,9.0,D
917,140294,8474578,SWE,9.0,D
919,140975,8470378,CAN,9.0,D
923,141168,8476244,CHE,8.0,D
927,141382,8471670,CAN,9.0,LW
929,141439,8474068,CAN,9.0,C
932,142102,8474024,USA,9.0,C
934,142186,8474189,DNK,8.0,C
936,142945,8469474,CAN,8.0,RW
938,143065,8460621,SWE,9.0,RW
940,143326,8465914,USA,8.0,D
942,143560,8475913,CAN,9.0,RW
944,143978,8476205,FRA,9.0,C
945,144025,8474683,CAN,24.0,C
951,144237,8476386,USA,2.0,LW
953,144376,8475661,CAN,9.0,LW
954,144402,8476477,CAN,9.0,LW
957,144489,8476474,USA,1.0,RW
959,144652,8476879,CAN,9.0,D
960,145118,8474697,CAN,9.0,D
961,145449,8467336,USA,30.0,LW
964,145674,8470104,USA,30.0,D
969,146088,8470153,CAN,30.0,C
971,146260,8474716,CAN,30.0,D
972,146895,8473504,CAN,30.0,RW
974,147558,8475722,USA,30.0,LW
975,148000,8473992,CAN,30.0,D
980,148280,8476463,SWE,30.0,D
981,148810,8469459,FIN,30.0,C
982,149465,8470803,CAN,30.0,C
985,150182,8470886,CAN,30.0,D
987,150565,8475613,USA,30.0,D
989,150941,8469820,CAN,30.0,C
993,151183,8469506,USA,30.0,RW
995,151898,8474618,CAN,30.0,D
997,152456,8475745,USA,30.0,C
999,153024,8464989,USA,30.0,C
1002,153730,8475798,FIN,30.0,RW
1004,154252,8469542,CAN,30.0,LW
1006,154326,8471352,USA,16.0,C
1009,154462,8475757,CAN,30.0,RW
1010,154480,8474077,CAN,30.0,RW
1011,154496,8471885,USA,30.0,C
1012,154505,8476856,CAN,30.0,D
1013,154875,8476235,CAN,30.0,RW
1014,155092,8473618,CAN,15.0,C
1017,155688,8469639,CAN,15.0,C
1020,156108,8459429,CAN,15.0,C
1023,156269,8474590,USA,15.0,D
1024,157035,8471242,CAN,15.0,D
1026,157596,8471240,CAN,15.0,D
1028,157784,8464979,DEU,15.0,LW
1032,157883,8468611,USA,15.0,LW
1037,158463,8466158,CAN,15.0,D
1042,158793,8467365,CAN,15.0,D
1043,158981,8470159,CAN,15.0,C
1048,159409,8473991,CAN,15.0,D
1050,160103,8470120,RUS,15.0,RW
1053,160449,8469770,CAN,15.0,D
1056,160911,8468846,CAN,15.0,D
1057,160944,8465059,CAN,15.0,RW
1059,161059,8473913,USA,15.0,D
1060,161066,8473911,CAN,23.0,RW
1062,161103,8471214,RUS,15.0,LW
1063,161892,8473563,SWE,15.0,C
1064,162637,8470294,CAN,15.0,LW
1065,162654,8474291,CAN,15.0,C
1067,163254,8458590,USA,15.0,RW
1069,163450,8466251,CAN,15.0,LW
1072,164115,8470611,CAN,15.0,C
1078,164638,8475149,SWE,15.0,LW
1081,165322,8474551,FIN,4.0,LW
1083,165551,8475283,USA,25.0,LW
1086,165572,8467408,CAN,4.0,D
1087,165582,8467361,CAN,4.0,C
1088,165668,8459424,CAN,4.0,D
1089,165734,8470597,RUS,4.0,RW
1090,165798,8470996,CAN,4.0,D
1092,165818,8474163,CAN,4.0,D
1093,165828,8473550,CAN,21.0,D
1095,165865,8474045,CAN,6.0,C
1096,165884,8466145,CAN,4.0,D
1098,165937,8458637,CAN,4.0,D
1100,166084,8471346,CAN,4.0,RW
1107,166611,8473568,AUT,4.0,RW
1109,166748,8476406,USA,26.0,C
1112,166985,8467890,CAN,19.0,D
1114,167445,8473534,SWE,19.0,C
1116,168071,8471710,USA,15.0,D
1121,168205,8474031,USA,19.0,D
1125,168875,8469480,CAN,25.0,D
1127,168965,8470151,CAN,19.0,D
1129,169671,8469685,CAN,19.0,C
1132,169740,8471729,CAN,19.0,D
1137,170373,8475768,CAN,19.0,LW
1138,170897,8470871,CAN,19.0,LW
1140,171146,8475765,RUS,19.0,RW
1141,171713,8474634,RUS,19.0,C
1143,171747,8471490,CAN,19.0,RW
1150,171967,8467917,USA,19.0,D
1154,172252,8471817,CAN,19.0,RW
1157,172884,8474565,CAN,19.0,D
1158,173638,8471698,USA,19.0,RW
1160,174318,8473485,CAN,19.0,RW
1166,174873,8474013,USA,19.0,D
1170,175423,8468434,CAN,19.0,LW
1171,175558,8467344,CAN,26.0,D
1174,175927,8470655,USA,19.0,RW
1176,176651,8476436,CZE,19.0,RW
1178,176968,8470257,SWE,19.0,LW
1179,177632,8471743,CZE,19.0,C
1181,178062,8471392,CZE,19.0,D
1185,178722,8474184,CAN,26.0,D
1188,178918,8474102,CAN,19.0,LW
1193,179553,8476772,USA,1.0,RW
1194,179575,8475295,USA,10.0,RW
1195,179595,8475738,CAN,4.0,C
1199,179765,8476871,CAN,26.0,LW
1202,180187,8475235,CAN,7.0,LW
1204,180504,8471476,CAN,28.0,LW
1211,181157,8468213,CAN,28.0,D
1213,181244,8474001,CAN,28.0,LW
1217,181498,8470647,USA,19.0,RW
1220,181784,8459457,USA,19.0,RW
1223,181937,8471851,CAN,19.0,RW
1227,182164,8468515,USA,28.0,LW
1230,182311,8465005,CAN,28.0,D
1232,182437,8470613,CAN,28.0,D
1234,183190,8467899,CZE,28.0,RW
1238,183445,8471842,USA,28.0,LW
1241,183532,8474531,CAN,28.0,D
1242,183538,8471677,USA,26.0,D
1245,184228,8460496,CAN,26.0,LW
1247,184517,8474114,SWE,26.0,RW
1248,184532,8471386,USA,26.0,LW
1249,184548,8468700,USA,18.0,C
1251,184970,8472368,USA,5.0,RW
1255,185078,8459628,USA,18.0,D
1258,185280,8474519,USA,18.0,D
1262,185482,8475772,CAN,17.0,C
1265,185958,8471450,CAN,18.0,RW
1268,186110,8475176,CAN,18.0,D
1269,186653,8470603,BLR,18.0,LW
1271,186820,8474600,CHE,18.0,D
1272,187454,8475268,CAN,18.0,LW
1274,187848,8475225,USA,18.0,RW
1275,188488,8471228,RUS,18.0,RW
1278,188752,8467977,CAN,20.0,RW
1280,188887,8474552,SWE,17.0,LW
1281,188894,8474873,USA,17.0,D
1282,189032,8467332,CAN,24.0,D
1286,189326,8462041,CZE,12.0,RW
1291,189534,8475758,CAN,8.0,RW
1295,189981,8473933,USA,24.0,D
1299,190587,8471676,USA,24.0,RW
1301,191264,8470621,CAN,24.0,RW
1302,191954,8472370,CAN,24.0,D
1304,191994,8475162,USA,24.0,D
1305,192003,8469483,USA,24.0,C
1309,192201,8474034,USA,24.0,LW
1313,192723,8467400,CAN,24.0,D
1316,193344,8470317,USA,21.0,D
1319,193542,8468695,CAN,27.0,C
1323,193634,8471521,CAN,24.0,RW
1326,193782,8475764,USA,24.0,D
1327,194464,8476854,SWE,24.0,D
1328,194966,8476384,SWE,24.0,RW
1329,194972,8475770,USA,24.0,RW
1332,195168,8460561,CAN,24.0,D
1334,195282,8474009,USA,24.0,C
1338,195926,8471699,CAN,24.0,LW
1341,196701,8475222,FIN,24.0,D
1343,197133,8475180,CAN,24.0,C
1347,197399,8459442,FIN,24.0,C
1348,197686,8465042,FIN,24.0,D
1349,197882,8457981,FIN,24.0,RW
1350,198172,8470612,CAN,24.0,C
1351,198862,8474579,CHE,24.0,D
1355,199350,8473492,CAN,24.0,LW
1358,199802,8477215,USA,17.0,D
1359,200254,8475151,USA,24.0,RW
1361,200788,8476483,SWE,24.0,C
1362,201217,8471428,CAN,5.0,RW
1365,201223,8466285,CAN,16.0,D
1367,201768,8458543,CAN,16.0,D
1368,201804,8460527,CAN,16.0,C
1369,201845,8470329,CAN,16.0,D
1372,201972,8465170,CAN,16.0,RW
1373,202035,8468518,SVK,16.0,RW
1375,202364,8468510,USA,30.0,LW
1377,202370,8471426,CAN,16.0,RW
1382,203115,8473722,CAN,16.0,LW
1388,203336,8473970,CAN,27.0,LW
1394,203530,8474628,CAN,27.0,D
1397,203976,8471232,FIN,27.0,LW
1402,204461,8476206,USA,27.0,C
1403,204477,8471680,CAN,27.0,C
1405,204566,8462036,CAN,27.0,C
1407,204659,8462038,CAN,27.0,RW
1409,205172,8468535,CAN,27.0,C
1414,205815,8470713,CAN,27.0,LW
1415,205965,8470719,CAN,23.0,C
1418,206011,8473589,USA,27.0,D
1421,206081,8458537,CAN,27.0,LW
1423,206364,8473673,CAN,27.0,D
1430,206785,8471691,CZE,27.0,C
1434,207252,8464966,CAN,27.0,D
1435,207506,8475171,SWE,27.0,D
1437,208179,8459053,CAN,27.0,D
1439,208369,8471735,USA,27.0,D
1443,209119,8468484,CZE,27.0,D
1445,209327,8468085,CZE,27.0,RW
1449,209890,8475224,CAN,27.0,RW
1452,209937,8476473,USA,27.0,D
1455,210323,8474571,DNK,27.0,LW
1460,210954,8475182,SWE,16.0,D
1463,211075,8474050,CAN,27.0,LW
1465,211093,8471821,CAN,27.0,RW
