,game_id,vencedor_id,perdedor_id
261,2012020240,52,12
262,2012020258,17,18
263,2012020262,6,13
264,2012020295,22,25
265,2012020310,28,18
266,2012020318,30,22
267,2012020330,13,52
268,2012020340,1,7
269,2012020349,25,26
270,2012020350,9,3
271,2012020369,5,2
272,2012020370,22,16
273,2012020406,5,3
274,2012020407,9,7
275,2012020420,15,7
276,2012020424,25,20
277,2012020452,5,2
278,2012020478,28,24
279,2012020480,5,8
280,2012020493,2,4
281,2012020498,27,18
282,2012020505,29,20
283,2012020509,21,18
284,2012020521,4,15
285,2012020526,19,30
286,2012020547,8,52
287,2012020586,14,9
288,2012020595,21,24
289,2012020608,16,17
290,2012020661,2,52
291,2012020669,12,14
292,2012020684,4,6
293,2012020692,16,22
294,2012020693,27,28
295,2012020694,4,2
296,2012020712,13,14
297,2012020720,26,28
298,2012030114,2,5
299,2012030136,3,15
300,2012030212,5,9
301,2012030234,17,16
302,2013020036,3,26
303,2013020042,18,30
304,2013020046,20,8
305,2013020063,20,1
306,2013020076,26,13
307,2013020086,16,12
308,2013020102,14,30
309,2013020119,16,10
310,2013020121,28,20
311,2013020123,29,23
312,2013020147,15,22
313,2013020151,24,9
314,2013020152,7,13
315,2013020165,20,15
316,2013020166,28,9
317,2013020167,14,13
318,2013020184,5,6
319,2013020186,17,23
320,2013020254,26,23
321,2013020266,15,29
322,2013020285,26,1
323,2013020290,15,17
324,2013020297,2,17
325,2013020304,15,19
326,2013020322,30,9
327,2013020323,5,15
328,2013020332,21,27
329,2013020352,28,1
330,2013020360,19,30
331,2013020363,26,23
332,2013020364,25,24
333,2013020369,18,29
334,2013020377,28,26
335,2013020414,9,13
336,2013020433,12,28
337,2013020458,7,9
338,2013020474,4,8
339,2013020503,16,26
340,2013020510,7,52
341,2013020512,14,2
342,2013020588,19,25
343,2013020594,28,24
344,2013020601,19,30
345,2013020615,9,52
346,2013020622,16,1
347,2013020630,9,8
348,2013020634,17,25
349,2013020637,26,23
350,2013020638,5,52
351,2013020654,5,23
352,2013020657,4,8
353,2013020667,26,6
354,2013020668,28,17
355,2013020710,3,17
356,2013020713,2,14
357,2013020720,27,23
358,2013020762,14,9
359,2013020787,22,18
360,2013020820,12,19
361,2013020844,6,23
362,2013020853,5,7
363,2013020857,22,3
364,2013020869,12,13
365,2013020875,10,23
366,2013020884,26,21
367,2013020888,3,16
368,2013020893,18,14
369,2013020908,26,12
370,2013020918,19,27
371,2013020926,29,25
372,2013020936,20,9
373,2013020948,3,12
374,2013020954,19,21
375,2013020964,16,7
376,2013020971,29,25
377,2013021020,16,17
378,2013021034,20,7
379,2013021057,17,30
380,2013021073,3,27
381,2013021084,13,9
382,2013021087,21,18
383,2013021105,25,18
384,2013021110,14,7
385,2013021130,10,20
386,2013021133,25,15
387,2013021137,3,23
388,2013021155,17,7
389,2013021157,1,15
390,2013021158,22,27
391,2013021160,6,4
392,2013021163,52,10
393,2013021183,29,27
394,2013021191,5,17
395,2013021217,18,16
396,2013030111,17,6
397,2013030147,3,4
398,2013030182,28,26
399,2013030231,16,30
400,2013030235,16,30
401,2013030244,24,26
402,2013030324,26,16
403,2013030325,16,26
404,2014020021,9,14
405,2014020024,8,4
406,2014020040,28,15
407,2014020053,8,6
408,2014020055,26,19
409,2014020075,3,28
410,2014020089,10,9
411,2014020113,5,18
412,2014020118,26,29
413,2014020125,52,2
414,2014020146,21,2
415,2014020157,1,29
416,2014020160,12,53
417,2014020168,24,21
418,2014020172,6,13
419,2014020177,16,8
420,2014020186,2,24
421,2014020187,6,22
422,2014020212,2,53
423,2014020228,16,14
424,2014020242,29,4
425,2014020246,2,13
426,2014020248,6,12
427,2014020261,30,52
428,2014020277,26,13
429,2014020293,6,29
430,2014020332,18,22
431,2014020334,16,24
432,2014020337,7,8
433,2014020347,2,1
434,2014020357,14,3
435,2014020382,29,13
436,2014020386,28,6
437,2014020394,29,14
438,2014020395,13,7
439,2014020401,28,20
440,2014020406,3,5
441,2014020407,1,12
442,2014020445,19,21
443,2014020460,52,7
444,2014020486,3,12
445,2014020496,4,52
446,2014020505,8,2
447,2014020506,3,15
448,2014020541,8,13
449,2014020550,17,1
450,2014020553,25,53
451,2014020560,5,14
452,2014020563,21,22
453,2014020582,22,2
454,2014020587,18,12
455,2014020589,21,16
456,2014020599,4,15
457,2014020602,18,25
458,2014020622,52,26
459,2014020629,26,10
460,2014020630,6,14
461,2014020632,2,3
462,2014020642,24,10
463,2014020646,23,4
464,2014020649,21,13
465,2014020657,18,15
466,2014020679,19,21
467,2014020689,16,53
468,2014020720,22,7
469,2014020727,8,15
470,2014020736,20,22
471,2014020752,30,16
472,2014020767,28,23
473,2014020768,1,10
474,2014020796,20,28
475,2014020832,26,15
476,2014020835,4,7
477,2014020842,21,53
478,2014020855,30,20
479,2014020867,1,23
480,2014020879,24,22
481,2014020892,1,53
482,2014020907,9,24
483,2014020918,2,20
484,2014020923,13,7
485,2014020933,52,26
486,2014020937,24,25
487,2014020959,14,10
488,2014020975,21,29
489,2014020979,23,28
490,2014020983,9,20
491,2014021017,20,10
492,2014021027,1,53
493,2014021028,21,20
494,2014021032,19,25
495,2014021041,7,6
496,2014021044,8,13
497,2014021048,19,20
498,2014021066,30,19
499,2014021078,22,4
500,2014021087,25,7
501,2014021088,20,21
502,2014021095,14,13
503,2014021096,18,8
504,2014021100,25,20
505,2014021101,24,6
506,2014021102,53,7
507,2014021103,26,2
508,2014021138,16,26
509,2014021142,6,13
510,2014021172,14,13
511,2014021198,20,53
512,2014021199,22,26
513,2014021208,19,16
514,2014021212,28,22
515,2014021216,9,4
516,2014021222,13,1
517,2014021227,25,18
518,2014021229,24,53
519,2014030153,30,19
520,2014030172,24,52
521,2014030181,20,23
522,2014030325,24,16
523,2015020007,14,4
524,2015020009,18,12
525,2015020013,3,29
526,2015020014,17,10
527,2015020031,8,9
528,2015020052,15,16
529,2015020053,8,3
530,2015020065,8,17
531,2015020071,2,28
532,2015020088,7,10
533,2015020116,17,23
534,2015020135,5,15
535,2015020157,5,10
536,2015020159,6,14
537,2015020169,10,25
538,2015020200,7,23
539,2015020219,23,29
540,2015020224,30,52
541,2015020246,3,9
542,2015020258,26,22
543,2015020266,19,52
544,2015020268,25,7
545,2015020291,20,16
546,2015020294,9,4
547,2015020305,28,29
548,2015020307,1,23
549,2015020312,6,10
550,2015020323,12,22
551,2015020326,14,26
552,2015020335,7,12
553,2015020357,10,22
554,2015020363,13,19
555,2015020383,13,29
556,2015020397,14,28
557,2015020411,10,1
558,2015020415,25,12
559,2015020421,17,8
560,2015020426,52,29
561,2015020438,15,14
562,2015020455,3,22
563,2015020459,20,18
564,2015020504,25,30
565,2015020518,14,29
566,2015020534,20,22
567,2015020539,26,23
568,2015020548,24,20
569,2015020553,1,9
570,2015020611,21,18
571,2015020630,3,6
572,2015020634,2,29
573,2015020640,14,21
574,2015020646,2,3
575,2015020664,29,21
576,2015020685,15,29
577,2015020689,26,25
578,2015020691,21,7
579,2015020706,2,9
580,2015020712,8,10
581,2015020717,21,25
582,2015020721,9,3
583,2015020724,26,28
584,2015020735,7,9
585,2015020746,2,30
586,2015020755,24,28
587,2015020761,15,2
588,2015020770,24,26
589,2015020775,15,1
590,2015020790,3,1
591,2015020845,53,8
592,2015020856,21,8
593,2015020859,5,17
594,2015020863,28,13
595,2015020892,28,19
596,2015020893,1,3
597,2015020897,14,53
598,2015020900,9,22
599,2015020905,24,7
600,2015020914,23,9
601,2015020958,30,10
602,2015020959,14,9
603,2015020966,3,15
604,2015020984,22,52
605,2015021003,20,18
606,2015021011,22,30
607,2015021021,30,8
608,2015021026,53,22
609,2015021043,13,8
610,2015021049,22,19
611,2015021052,3,24
612,2015021054,5,12
613,2015021057,18,2
614,2015021065,22,23
615,2015021090,29,4
616,2015021095,52,23
617,2015021099,2,9
618,2015021126,16,20
619,2015021127,53,4
620,2015021130,5,3
621,2015021143,8,17
